h tCustomer ID,Customer Name,GST Number,Billing Address,Shipping Address,Rate Card Reference,Created On,Phone,Remarks
B2BCUST-557,"FUELLED NUTRITION PRIVATE LIMITED","23AAECF2000Q1ZW","FUELLED NUTRITION PRIVATE, Office No 201, Plot no. 244 EB, Scheme no. 94, Indore 452010, Madhya Pradesh","FERMENTIS LIFE SCIENCES PRIVATE LIMITED, PLOT NO. 41, SECTOR-8, IMT MANESAR, GRURGRAM, 122051, HARYANA, INDIA, 9289609970","N/A",09-Jun-2025,"NA","N/A"
B2BCUST-556,"Bloom Hotel - HSR Layout Sector 3","29AABCI6836L1Z2","Imperativ Hospitality Private Limited 103/B, Hsr Government School Road, Sector 3, Hsr Layout Bangalore 29-KA 560102 IN, Cont. person at site:- Mr. Mustak  (9088278551)","Bloom Hotel - HSR Layout Sector 3 103/B, Hsr Government School Road, Sector 3, Hsr Layout Bangalore 29-KA 560102 IN, Cont. person at site:- Mr. Mustak  (9088278551)","Bloom Hotels Institutional",07-Jun-2025,"9611074964","N/A"
B2BCUST-555,"AIR INDIA EXPRESS LIMITED-Trivandrum TRV","32AABCA0522B1ZT","5TH Floor, Aryabhangy Pinnacle, Air India Express Limited, Sahodaran Ayyappan Road, max, Kadavanthra, Kochi, Ernakulam, Kerala, 682020","M/s Uday Sky Kitchen, Unit of R.R.Holiday Homes Pvt Ltd TC-34/757-1, Watts Lane, Shangumugham, Trivandrum 695007, Kerala, India, ANJANA BABYCHAN	9539951069","N/A",06-Jun-2025,"9539951069","N/A"
B2BCUST-554,"AIR INDIA EXPRESS LIMITED-Calicut CCJ","32AABCA0522B1ZT","5TH Floor, Aryabhangy Pinnacle, Air India Express Limited, Sahodaran Ayyappan Road, max, Kadavanthra, Kochi, Ernakulam, Kerala, 682020","M/s CAFS,	M/s CAFS, Building No: 8/2B, Calicut Airport P.O, Karipur, Malappuram - 673638, Kerala, India, VISHNU M - 9746739837","N/A",06-Jun-2025,"9746739837","N/A"
B2BCUST-553,"AIR INDIA EXPRESS LIMITED-Cochin COK","32AABCA0522B1ZT","5TH Floor, Aryabhangy Pinnacle, Air India Express Limited, Sahodaran Ayyappan Road, max, Kadavanthra, Kochi, Ernakulam, Kerala, 682020","M/s  Lulu, LULU FLIGHT KITCHEN (P) LTD, C/O AIR INDIA EXPRESS LTD, XI /300 -B , VIP ROAD OPP.COCHIN INTERNATIONAL AIRPORT, NEDUMBASSERY, KOCHI- 683572, SIVAKUMAR R	9895234949","N/A",06-Jun-2025,"9744633789, 9677511104","N/A"
B2BCUST-552,"Naveena Ponnaganti","NA","Naveena Ponnaganti, Plot no 66,67, Behind Montridge School, 4th Floor, Mahadevapuram, Gajularamanram, 500055,  Hyderabad, Telangana, M - 8282802828","Naveena Ponnaganti, Plot no 66,67, Behind Montridge School, 4th Floor, Mahadevapuram, Gajularamanram, 500055,  Hyderabad, Telangana, M - 8282802828","N/A",06-Jun-2025,"8282802828","N/A"
B2BCUST-551,"Modern Bazaar (Faridabad)","06AAECN3446L1ZA","SCO No.-71 & 72, Huda Market Sector -14, Faridabad, Faridabad, Faridabad, Haryana-121007","SCO No.-71 & 72, Huda Market Sector -14, Faridabad, Faridabad, Faridabad, Haryana-121007","N/A",04-Jun-2025,"9311902378","N/A"
B2BCUST-550,"Dimitrios Parginos","NA","Dimitrios Parginos Agthia Group Sky Tower, 17th Floor, Al Reem Island, Abu Dhabi, UAE Tel : +971508120930, Delhi, 110024, Delhi","Dimitrios Parginos Agthia Group Sky Tower, 17th Floor, Al Reem Island, Abu Dhabi, UAE Tel : +971 508120930, Delhi, 110024, Delhi","N/A",04-Jun-2025,"+971 508 120930","N/A"
B2BCUST-549,"Beth Kearns","NA","Beth Kearns  10250 Constellation Blvd  Suite 2300  Los Angeles, CA 90067 - 110024, Delhi","Beth Kearns  10250 Constellation Blvd  Suite 2300  Los Angeles, CA 90067 - 110024, Delhi","N/A",04-Jun-2025,"NA","N/A"
B2BCUST-548,"Rajat Aiyer","NA","Rajat Aiyer  1628 John F. Kennedy Blvd  Suite 1400  Philadelphia, PA 19103 - 110024, Delhi","Rajat Aiyer  1628 John F. Kennedy Blvd  Suite 1400  Philadelphia, PA 19103 - 110024, Delhi","N/A",04-Jun-2025,"NA","N/A"
B2BCUST-547,"Amazon Retail India Private Limited (HHR7)","06AAPCA6346P1ZZ","Amazon Retail India Private Limited Khasra No.20//11/2/3,12,19,20/1/2,21,22,,39//1,2/29,10,11,12,13,18,19,20,21,23/1,24/1,41//4/1/1,Village Bighan, Sonepat, Haryana-131039 Sonipat Sonipat 131039 India","Amazon Retail India Private Limited Khasra No.20//11/2/3,12,19,20/1/2,21,22,,39//1,2/29,10,11,12,13,18,19,20,21,23/1,24/1,41//4/1/1,Village Bighan, Sonepat, Haryana-131039 Sonipat Sonipat 131039 India","Amazon ARIPL Rate Card-2",03-Jun-2025,"NA","N/A"
B2BCUST-546,"Concept Imprint Pvt. Ltd","09AAECC8332N1Z8","Concept Imprint Pvt. Ltd. 51/1/4, Site-4, Industrial Area, Sahibabad, Ghaziabad , 201010, Uttar Pradesh, Tarun Dembla 9810611770","Concept Imprint Pvt Ltd B-92, Sector 23 noida , Pin Code-201301, Tarun Dembla 9810611770","N/A",31-May-2025,"9810611770","N/A"
B2BCUST-545,"Snehal Iyer","NA","501, A wing, Nuevo, Golflinks, Palava, Nilje, Near Xperia mall, Dombivli East, 421204 POC-  9773434595","501, A wing, Nuevo, Golflinks, Palava, Nilje, Near Xperia mall, Dombivli East, 421204 POC-  9773434595","N/A",31-May-2025,"9773434595","N/A"
B2BCUST-544,"ACCUMAX LAB DEVICES PRIVATE LIMITED","24AABCF3671L1ZK","228/1/4, Dantali Industrial Owners Association Gota Vadsar Road, Dantali Gam Gandhinagar – 382721, Krunal Patel 9898903510","228/1/4, Dantali Industrial Owners Association Gota Vadsar Road, Dantali Gam Gandhinagar – 382721, Krunal Patel 9898903510","N/A",31-May-2025,"9898903510","N/A"
B2BCUST-543,"INKSE ENTERPRISES","27CAOPD5514L1ZG","SHOP NO 12, KASHIBAI, NEAR RADHA SILK MILL, PARSI PANCHAYAT ROAD, ANDHERI EAST, MUMBAI-400069, ASHWIN DEVDA 9867088736","SHOP NO 12, KASHIBAI, NEAR RADHA SILK MILL, PARSI PANCHAYAT ROAD, ANDHERI EAST, MUMBAI-400069, ASHWIN DEVDA 9867088736","N/A",31-May-2025,"9867088736","N/A"
B2BCUST-542,"HONEY AGENCIES","05FYOPS7972A1ZW","PLOT NO 5 ,RAIPUR -DASHMESH VIHAR ,NEAR NANAK SAR GURDWARA,DEHRADUN,UTTARAKHAND,-248001","PLOT NO 5 ,RAIPUR -DASHMESH VIHAR ,NEAR NANAK SAR GURDWARA,DEHRADUN,UTTARAKHAND,-248001","N/A",30-May-2025,"8218326231","N/A"
B2BCUST-541,"Akasa Airlines HQ","NA","Urmi Estate, Tower A, 12th Floor 95, Ganpatrao Kadam Marg, Lower Parel (W), Mumbai 400013, Debangshu- 9051534693 Mayashankar- 9810573555","Urmi Estate, Tower A, 12th Floor 95, Ganpatrao Kadam Marg, Lower Parel (W), Mumbai 400013, Debangshu- 9051534693 Mayashankar- 9810573555","N/A",30-May-2025,"9051534693, 9810573555","N/A"
B2BCUST-540,"Four Points by Sheraton Chennai Velachery A unit of AGK Hotels International Pvt Ltd.","33AAPCA9141C1ZU","Four Points by Sheraton Chennai Velachery A unit of AGK Hotels International Pvt Ltd., 333 Bhuvneshwari Nagar, Tambaram Main Road, Velachery, Chennai, Tamil Nadu - 600042,  T 044 6969 2366 M +91 8925887817","Four Points by Sheraton Chennai Velachery A unit of AGK Hotels International Pvt Ltd., 333 Bhuvneshwari Nagar, Tambaram Main Road, Velachery, Chennai, Tamil Nadu - 600042,  T 044 6969 2366 M +91 8925887817","N/A",29-May-2025,"8925887817","N/A"
B2BCUST-539,"RADISSON BLU HOTEL GUWAHATI A Unit of DS (Assam) Hospitality Ltd.","18AACCD6598H1Z7","RADISSON BLU HOTEL GUWAHATI A Unit of DS (Assam) Hospitality Ltd., National Highway 37, Gotanagar, Guwahati, 781011, Assam, Nipan Das 8811099401","RADISSON BLU HOTEL GUWAHATI A Unit of DS (Assam) Hospitality Ltd., National Highway 37, Gotanagar, Guwahati, 781011, Assam, Nipan Das 8811099401","N/A",28-May-2025,"8811099401","N/A"
B2BCUST-538,"M/S VISTARA FARMS-Clarks Inns Firozabad","09ABZFM3135G1ZT","331, ALI NAGAR KENJRA, OPP F.M. CITY, FIROZABAD, FIROZABAD 283203, UTTAR PRADESH, Anirudh Sharma - 7042239964","331, ALI NAGAR KENJRA, OPP F.M. CITY, FIROZABAD, FIROZABAD 283203, UTTAR PRADESH, Anirudh Sharma - 7042239964","N/A",28-May-2025,"7042239964","N/A"
B2BCUST-537,"Techpark Hotels Pvt. Ltd.","29AABCE5833H1ZK","Techpark Hotels Pvt. Ltd. Opposite to Intel Campus, Sarajpur Outer Ring Road Bangalore - 560103, Karnataka, India, Biswal +919538833885","Techpark Hotels Pvt. Ltd. Opposite to Intel Campus, Sarajpur Outer Ring Road Bangalore - 560103, Karnataka, India, Biswal +919538833885","N/A",28-May-2025,"9538833885","N/A"
B2BCUST-536,"Scootsy Logistics Private Limited ( Guwahati)","18AAVCS1691R1Z4","Dag no's. 590, 704, 705, 1255 & 1256, Patta Nos. 1649, 182, 439 484 & 485 at RV Hudumpur Mouza Kochpara, Ghyani, Dist- Kamrup Guwahati, Assam - 781122, India","Dag no's. 590, 704, 705, 1255 & 1256, Patta Nos. 1649, 182, 439 484 & 485 at RV Hudumpur Mouza Kochpara, Ghyani, Dist- Kamrup Guwahati, Assam - 781122, India","Swiggy Rate Card - 2",27-May-2025,"9830509458","N/A"
B2BCUST-535,"AIR INDIA EXPRESS LIMITED-Kannur CNN","32AABCA0522B1ZT","5TH Floor, Aryabhangy Pinnacle, Air India Express Limited, Sahodaran Ayyappan Road, max, Kadavanthra, Kochi, Ernakulam, Kerala, 682020, SHIJO SEBASTIN	8111868474","M/s CAFS, M/s CAFS, Kannur International Airport Limited (KIAL), Karaperavoor P.O, Mattannur. (Via), Kannur-670702 Kerala, India, SHIJO SEBASTIN	8111868474","N/A",26-May-2025,"8111868474","N/A"
