WH,PO Date,PO Expiry Date,Punch Date,Approved Date,Invoice date,Dispatch Date,Delivery Date,Voucher Type,PO Number,Invoice Number,Taxable Invoice Value,Total Invoice Amount With Tax,Total Item Value,Total Item Value Without Tax,Customer,Customer GST,Shipping Address,Mode of Transport,AWB Number,Order ID,Order Type,Order Status,SKU Code,SKU Description,Order Qty (Case Units),Approved Qty (Case Units),Fulfilled/Dispatched Qty (Case Units),Order Qty (in Units),Approved Qty (in Units),Fulfilled/Dispatched Qty (in Units),GRN Qty (in Units),Approval Remarks,WH/Fulfillment Remarks,GRN Remarks,Order Vs Fulfilled %,Approved Vs Fulfilled %
,30 May 2025 12:09:38,09 Jun 2025 23:59:59,31 May 2025 09:49:02,31 May 2025 10:40:54,04 Jun 2025 15:09:12,04 Jun 2025 21:48:26,09 Jun 2025 00:00:00,"Tax Invoice","2737610035519","SOMN-25/26-02516","34943.05","41232.80","10663.73","12583.20","Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse)","24AADCH7038R1Z3","Ahmedabad A2 - Feeder Warehouse",,"H90304193114","2737610035519","Blinkit","delivered","PIC-FVA-100-GLJ-C24","Instant Coffee French Vanilla 100g Glass Jar Case of 24","1","1","1","24","24","24",,,"No change",,"100.00%","100.00%"
,30 May 2025 12:09:38,09 Jun 2025 23:59:59,31 May 2025 09:49:02,31 May 2025 10:40:54,04 Jun 2025 15:09:12,04 Jun 2025 21:48:26,09 Jun 2025 00:00:00,"Tax Invoice","2737610035519","SOMN-25/26-02516","34943.05","41232.80","21313.22","25149.60","Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse)","24AADCH7038R1Z3","Ahmedabad A2 - Feeder Warehouse",,"H90304193114","2737610035519","Blinkit","delivered","PIC-XPR-100-GLJ-C24","Instant Coffee Xpresso 100g Glass Jar Case of 24","3","3","3","72","72","72",,,"No change",,"100.00%","100.00%"
,30 May 2025 12:09:38,09 Jun 2025 23:59:59,31 May 2025 09:49:02,31 May 2025 10:40:54,04 Jun 2025 15:09:12,04 Jun 2025 21:48:26,09 Jun 2025 00:00:00,"Tax Invoice","2737610035519","SOMN-25/26-02516","34943.05","41232.80","2966.10","3500.00","Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse)","24AADCH7038R1Z3","Ahmedabad A2 - Feeder Warehouse",,"H90304193114","2737610035519","Blinkit","delivered","PIC-XPR-25P-SAC-C20","Instant Coffee Xpresso Pack of 25 Sachets Case of 20","1","1","1","20","20","20",,,"No change",,"100.00%","100.00%"
,29 May 2025 11:31:25,08 Jun 2025 23:59:59,30 May 2025 09:51:12,30 May 2025 10:37:00,02 Jun 2025 13:56:54,02 Jun 2025 20:52:33,09 Jun 2025 00:00:00,"Tax Invoice","8524110008306","SOMN-25/26-02432","10467.80","12208.00","2400.00","2688.00","Hands on trades Private Limited ( Chennai C-5 )","33AADCH7038R1Z4","Chennai C5 - Feeder Warehouse",,"H90304190807","8524110008306","Blinkit","delivered","CCC-VIE-230-CAN-C24","Cold Coffee Can Vietnamese 230ml Case of 24","1","1","1","24","24","24",,,"No change",,"100.00%","100.00%"
,29 May 2025 11:31:25,08 Jun 2025 23:59:59,30 May 2025 09:51:12,30 May 2025 10:37:00,02 Jun 2025 13:56:54,02 Jun 2025 20:52:33,09 Jun 2025 00:00:00,"Tax Invoice","8524110008306","SOMN-25/26-02432","10467.80","12208.00","8067.80","9520.00","Hands on trades Private Limited ( Chennai C-5 )","33AADCH7038R1Z4","Chennai C5 - Feeder Warehouse",,"H90304190807","8524110008306","Blinkit","delivered","PIC-DCF-10P-SAC-C68","Instant Coffee Decaf Pack of 10 Sachets Case of 68","1","1","1","68","68","68",,,"No change",,"100.00%","100.00%"
,26 May 2025 12:20:19,09 Jun 2025 23:59:59,27 May 2025 10:05:50,27 May 2025 11:28:53,27 May 2025 18:27:02,27 May 2025 19:30:37,07 Jun 2025 00:00:00,"Tax Invoice","2135210089713","SOMN-25/26-02224","53071.69","62354.60","10663.73","12583.20","Hands On Trades Private Limited (K4 Kolkata)","19AADCH7038R1ZU","Kolkata K4 - Feeder Warehouse","Road","1302029776","2135210089713","Blinkit","delivered","PIC-ORG-100-GLJ-C24","Instant Coffee Original 100g Glass Jar Case of 24","1","1","1","24","24","24",,,"No change",,"100.00%","100.00%"
,26 May 2025 12:20:19,09 Jun 2025 23:59:59,27 May 2025 10:05:50,27 May 2025 11:28:53,27 May 2025 18:27:02,27 May 2025 19:30:37,07 Jun 2025 00:00:00,"Tax Invoice","2135210089713","SOMN-25/26-02224","53071.69","62354.60","10663.73","12583.20","Hands On Trades Private Limited (K4 Kolkata)","19AADCH7038R1ZU","Kolkata K4 - Feeder Warehouse","Road","1302029776","2135210089713","Blinkit","delivered","PIC-HAZ-100-GLJ-C24","Instant Coffee Hazelnut 100g Glass Jar Case of 24","1","1","1","24","24","24",,,"No change",,"100.00%","100.00%"
,26 May 2025 12:20:19,09 Jun 2025 23:59:59,27 May 2025 10:05:50,27 May 2025 11:28:53,27 May 2025 18:27:02,27 May 2025 19:30:37,07 Jun 2025 00:00:00,"Tax Invoice","2135210089713","SOMN-25/26-02224","53071.69","62354.60","7104.41","8383.20","Hands On Trades Private Limited (K4 Kolkata)","19AADCH7038R1ZU","Kolkata K4 - Feeder Warehouse","Road","1302029776","2135210089713","Blinkit","delivered","PIC-XPR-100-GLJ-C24","Instant Coffee Xpresso 100g Glass Jar Case of 24","1","1","1","24","24","24",,,"No change",,"100.00%","100.00%"
,26 May 2025 12:20:19,09 Jun 2025 23:59:59,27 May 2025 10:05:50,27 May 2025 11:28:53,27 May 2025 18:27:02,27 May 2025 19:30:37,07 Jun 2025 00:00:00,"Tax Invoice","2135210089713","SOMN-25/26-02224","53071.69","62354.60","4004.24","4725.00","Hands On Trades Private Limited (K4 Kolkata)","19AADCH7038R1ZU","Kolkata K4 - Feeder Warehouse","Road","1302029776","2135210089713","Blinkit","delivered","PMC-AST-03P-SAC-C45","Premix Coffee Assorted Box of 3 Sachets Case of 45	","1","1","1","45","45","45",,,"No change",,"100.00%","100.00%"
,26 May 2025 12:20:19,09 Jun 2025 23:59:59,27 May 2025 10:05:50,27 May 2025 11:28:53,27 May 2025 18:27:02,27 May 2025 19:30:37,07 Jun 2025 00:00:00,"Tax Invoice","2135210089713","SOMN-25/26-02224","53071.69","62354.60","4500.00","5040.00","Hands On Trades Private Limited (K4 Kolkata)","19AADCH7038R1ZU","Kolkata K4 - Feeder Warehouse","Road","1302029776","2135210089713","Blinkit","delivered","CCC-BEL-230-CAN-C24","Cold Coffee Can Belgian Mocha 230ml Case of 24","3","3","3","72","72","72",,,"No change",,"100.00%","100.00%"
