Rate Card Name,Rate Card Type,Product Name,Product SKU Code,Price (₹),Created On
"MT (50%)","undefined","Cold Brew Bags Assorted Set of 5 Bag Case of 10","CBB-AST-05P-BAG-C10","4500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Assorted Pack of 96 Sachets","PIC-AST-96P-SAC-ONE","720","05-May-2025"
"MT (50%)","undefined","Instant Coffee Xpresso 2g Sachet Ladi Case of 240 Case of 10","PIC-XPR-2GM-SAC-240-LAD-C10","12000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Coarse Grind 250g Case of 20","RNG-ORG-250-COR-C20","5000","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Hazelnut Set of 5 Bag Case of 10","CBB-HAZ-05P-BAG-C10","4500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Filter Kaapi 100g Glass Jar Case of 24","PIC-FKP-100-GLJ-C24","5388","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags Dark Roast Set of 10 Bags Case of 20","HBB-DRK-10P-BAG-C20","5000","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino Box of 5 Sachets Case of 30","PMC-CAP-05P-SAC-C30","3750","05-May-2025"
"MT (50%)","undefined","New MRP Instant Coffee Original Pack of 30 Sachets Case of 20","PIC-ORG-30P-SAC-C20-MRP","4500","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Medium Grind 250g Case of 20","RNG-ORG-250-MED-C20","5000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee French Vanilla Medium Grind 250g Case of 20","RNG-FVA-250-MED-C20","5250","05-May-2025"
"MT (50%)","undefined","Instant Coffee Filter Kaapi 100g Glass Jar","PIC-FKP-100-GLJ-ONE","224.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee Xpresso 100g Glass Jar Case of 24","PIC-XPR-100-GLJ-C24","5988","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Dark Roast Set of 5 Bag Case of 10","CBB-DRK-05P-BAG-C10","4500","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags French Vanilla Set of 5 Bag Case of 10","CBB-FVA-05P-BAG-C10","4500","05-May-2025"
"MT (50%)","undefined","Original Cold Brew Packs - Set of 5 (10 Boxes)","CBB-ORG-05P-BAG-C10","4500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Xpresso 2g Sachet Ladi Case of 240","PIC-XPR-2GM-SAC-240-LAD","1200","05-May-2025"
"MT (50%)","undefined","Instant Coffee Xpresso 2g Sachet Pack of 200 Case of 10","PIC-XPR-2GM-SAC-200-C10","10000","05-May-2025"
"MT (50%)","undefined","Instant Coffee Xpresso 2g Sachet Pack of 200","PIC-XPR-2GM-SAC-200","1000","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Dark Roast Box of 5","CBB-DRK-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Fine Grind 250g Case of 20","RNG-ORG-250-FIN-C20","5000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee French Vanilla Fine Grind 250g Case of 20","RNG-FVA-250-FIN-C20","5250","05-May-2025"
"MT (50%)","undefined","Instant Coffee Original 100g Glass Jar Case of 24","PIC-ORG-100-GLJ-C24","8988","05-May-2025"
"MT (50%)","undefined","Instant Coffee Hazelnut 100g Glass Jar Case of 24","PIC-HAZ-100-GLJ-C24","8988","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Dark Roasted and Ground Coarse Grind 250g Case of 20","RNG-DRK-250-COR-C20","5000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Dark Roasted and Ground Medium Grind 250g Case of 20","RNG-DRK-250-MED-C20","5000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Dark Roasted and Ground Whole Beans 250g Case of 20","RNG-DRK-250-WHL-C20","5000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Dark Roasted and Ground Fine Grind 250g Case of 20","RNG-DRK-250-FIN-C20","5000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Hazelnut Coarse Grind 250g Case of 20","RNG-HAZ-250-COR-C20","5250","05-May-2025"
