Order ID,PO Number,Invoice Number,Customer,Customer GST,SKU Code,Product_Name,Category,Flavor,Package_Type,PO Date,Approved Date,Dispatch Date,Delivery Date,Order Status,WH,Order Qty (Case Units),Order Qty (in Units),Approved Qty (in Units),Fulfilled/Dispatched Qty (in Units),Master_Price_Per_Unit,Rate_Card_Price,Total Invoice Amount With Tax,Rate_Card_Type,HSN_Code,Tax_Slab,Case_Size,Weight,Dimension,Zepto_SKU,Blinkit_SKU,Swiggy_SKU,Customer_Contact,Customer_Email,Customer_Full_Address,Customer_Pincode,Shipping Address,AWB Number,Mode of Transport,Order Vs Fulfilled %,Approved Vs Fulfilled %,Lower_Threshold,Upper_Threshold,GRN Qty (in Units),Approval Remarks,WH/Fulfillment Remarks,Rate_Card_Created,Data_Processed_At
2737610035519,2737610035519,SOMN-25/26-02516,Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse),24AADCH7038R1Z3,PIC-FVA-100-GLJ-C24,Instant Coffee French Vanilla 100g Glass Jar Case of 24,Instant Coffee,French Vanilla,Glass Jar,30 May 2025 12:09:38,31 May 2025 10:40:54,04 Jun 2025 21:48:26,09 Jun 2025 00:00:00,delivered,,1,24,24,24,17976.0,0,41232.8,,21011110,TAX-18,24.0,,,378065E7-9FA3-4851-A328-B31D976C5AB8,10108817.0,15280.0,,,,,Ahmedabad A2 - Feeder Warehouse,H90304193114,,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
2737610035519,2737610035519,SOMN-25/26-02516,Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse),24AADCH7038R1Z3,PIC-XPR-100-GLJ-C24,Instant Coffee Xpresso 100g Glass Jar Case of 24,Instant Coffee,Xpresso,Glass Jar,30 May 2025 12:09:38,31 May 2025 10:40:54,04 Jun 2025 21:48:26,09 Jun 2025 00:00:00,delivered,,3,72,72,72,11976.0,0,41232.8,,21011110,TAX-18,24.0,,,256f509e-d774-43ed-a860-ee6c85fb7f1f,10145575.0,96153.0,,,,,Ahmedabad A2 - Feeder Warehouse,H90304193114,,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
2737610035519,2737610035519,SOMN-25/26-02516,Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse),24AADCH7038R1Z3,PIC-XPR-25P-SAC-C20,Instant Coffee Xpresso Pack of 25 Sachets Case of 20,Instant Coffee,Xpresso,Sachet,30 May 2025 12:09:38,31 May 2025 10:40:54,04 Jun 2025 21:48:26,09 Jun 2025 00:00:00,delivered,,1,20,20,20,5000.0,0,41232.8,,21011110,TAX-18,20.0,,,,10154100.0,82274.0,,,,,Ahmedabad A2 - Feeder Warehouse,H90304193114,,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
8524110008306,8524110008306,SOMN-25/26-02432,Hands on trades Private Limited ( Chennai C-5 ),33AADCH7038R1Z4,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,RTD Can,Vietnamese,Can,29 May 2025 11:31:25,30 May 2025 10:37:00,02 Jun 2025 20:52:33,09 Jun 2025 00:00:00,delivered,,1,24,24,24,3840.0,0,12208.0,,22029930,TAX-12,24.0,,,14D8149C-0B2F-4605-90F1-2132AF1F0F46,10164921.0,48622.0,,,,,Chennai C5 - Feeder Warehouse,H90304190807,,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
8524110008306,8524110008306,SOMN-25/26-02432,Hands on trades Private Limited ( Chennai C-5 ),33AADCH7038R1Z4,PIC-DCF-10P-SAC-C68,Instant Coffee Decaf Pack of 10 Sachets Case of 68,Instant Coffee,Decaf,Sachet,29 May 2025 11:31:25,30 May 2025 10:37:00,02 Jun 2025 20:52:33,09 Jun 2025 00:00:00,delivered,,1,68,68,68,13600.0,0,12208.0,,21011110,TAX-18,68.0,,,,10220576.0,,,,,,Chennai C5 - Feeder Warehouse,H90304190807,,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
2135210089713,2135210089713,SOMN-25/26-02224,Hands On Trades Private Limited (K4 Kolkata),19AADCH7038R1ZU,PIC-ORG-100-GLJ-C24,Instant Coffee Original 100g Glass Jar Case of 24,Instant Coffee,Original,Glass Jar,26 May 2025 12:20:19,27 May 2025 11:28:53,27 May 2025 19:30:37,07 Jun 2025 00:00:00,delivered,,1,24,24,24,17976.0,0,62354.6,,21011110,TAX-18,24.0,,,00ceaab9-0b4c-475d-800e-68b6a721d13e,10108815.0,15278.0,,,,,Kolkata K4 - Feeder Warehouse,1302029776,Road,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
2135210089713,2135210089713,SOMN-25/26-02224,Hands On Trades Private Limited (K4 Kolkata),19AADCH7038R1ZU,PIC-HAZ-100-GLJ-C24,Instant Coffee Hazelnut 100g Glass Jar Case of 24,Instant Coffee,Hazelnut,Glass Jar,26 May 2025 12:20:19,27 May 2025 11:28:53,27 May 2025 19:30:37,07 Jun 2025 00:00:00,delivered,,1,24,24,24,17976.0,0,62354.6,,21011110,TAX-18,24.0,,,98849F34-EB39-4610-A861-273D6833F262,10108816.0,15279.0,,,,,Kolkata K4 - Feeder Warehouse,1302029776,Road,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
2135210089713,2135210089713,SOMN-25/26-02224,Hands On Trades Private Limited (K4 Kolkata),19AADCH7038R1ZU,PIC-XPR-100-GLJ-C24,Instant Coffee Xpresso 100g Glass Jar Case of 24,Instant Coffee,Xpresso,Glass Jar,26 May 2025 12:20:19,27 May 2025 11:28:53,27 May 2025 19:30:37,07 Jun 2025 00:00:00,delivered,,1,24,24,24,11976.0,0,62354.6,,21011110,TAX-18,24.0,,,256f509e-d774-43ed-a860-ee6c85fb7f1f,10145575.0,96153.0,,,,,Kolkata K4 - Feeder Warehouse,1302029776,Road,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
2135210089713,2135210089713,SOMN-25/26-02224,Hands On Trades Private Limited (K4 Kolkata),19AADCH7038R1ZU,PMC-AST-03P-SAC-C45,Premix Coffee Assorted Box of 3 Sachets Case of 45	,Premix,Original,Sachet,26 May 2025 12:20:19,27 May 2025 11:28:53,27 May 2025 19:30:37,07 Jun 2025 00:00:00,delivered,,1,45,45,45,6750.0,0,62354.6,,21011120,TAX-18,45.0,,,89A6BC2B-943F-4783-8C16-908B4C705F91,10185215.0,423988.0,,,,,Kolkata K4 - Feeder Warehouse,1302029776,Road,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
2135210089713,2135210089713,SOMN-25/26-02224,Hands On Trades Private Limited (K4 Kolkata),19AADCH7038R1ZU,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,RTD Can,Belgian Mocha,Can,26 May 2025 12:20:19,27 May 2025 11:28:53,27 May 2025 19:30:37,07 Jun 2025 00:00:00,delivered,,3,72,72,72,3000.0,0,62354.6,,22029930,TAX-12,24.0,,,060329D0-9AED-4BBC-8B0B-CE4129BCFE8D,10218488.0,948286.0,,,,,Kolkata K4 - Feeder Warehouse,1302029776,Road,100.00%,100.00%,,,,,No change,,2025-06-10 09:05:38
