unified_id,order_id,sku_code,product_name,customer_name,order_status,order_type,po_date,delivery_date,taxable_value,order_qty_units,fulfilled_qty_units,shortage_qty,fulfillment_percentage,inventory_age_days,demand_velocity,is_overstocked,is_understocked,is_stockout,priority_score
c8f0607c,2737610035519,PIC-FVA-100-GLJ-C24,Instant Coffee French Vanilla 100g Glass Jar Case of 24,Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse),delivered,Blinkit,30 May 2025 12:09:38,09 Jun 2025 00:00:00,41232.8,24,24,0,100.0,10.0,58490.43287671232,0,0,0,1.86
2cb6a1eb,2737610035519,PIC-XPR-100-GLJ-C24,Instant Coffee Xpresso 100g Glass Jar Case of 24,Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse),delivered,Blinkit,30 May 2025 12:09:38,09 Jun 2025 00:00:00,41232.8,72,72,0,100.0,10.0,68670.73978652926,0,0,0,2.05
0afbb038,2737610035519,PIC-XPR-25P-SAC-C20,Instant Coffee Xpresso Pack of 25 Sachets Case of 20,Hands On Trades Private Limited (Ahmedabad A2 - Feeder Warehouse),delivered,Blinkit,30 May 2025 12:09:38,09 Jun 2025 00:00:00,41232.8,20,20,0,100.0,10.0,34521.67441860465,0,0,0,1.42
85901207,8524110008306,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,Hands on trades Private Limited ( Chennai C-5 ),delivered,Blinkit,29 May 2025 11:31:25,09 Jun 2025 00:00:00,12208.0,24,24,0,100.0,11.0,475307.11825487943,0,0,0,8.98
28dd7572,8524110008306,PIC-DCF-10P-SAC-C68,Instant Coffee Decaf Pack of 10 Sachets Case of 68,Hands on trades Private Limited ( Chennai C-5 ),delivered,Blinkit,29 May 2025 11:31:25,09 Jun 2025 00:00:00,12208.0,68,68,0,100.0,11.0,27687.506508206003,0,0,0,0.74
dbdd6abf,2135210089713,PIC-ORG-100-GLJ-C24,Instant Coffee Original 100g Glass Jar Case of 24,Hands On Trades Private Limited (K4 Kolkata),delivered,Blinkit,26 May 2025 12:20:19,07 Jun 2025 00:00:00,62354.6,24,24,0,100.0,14.0,43719.077647058824,0,0,0,1.99
89aad3b2,2135210089713,PIC-HAZ-100-GLJ-C24,Instant Coffee Hazelnut 100g Glass Jar Case of 24,Hands On Trades Private Limited (K4 Kolkata),delivered,Blinkit,26 May 2025 12:20:19,07 Jun 2025 00:00:00,62354.6,24,24,0,100.0,14.0,58257.506862281116,0,0,0,2.25
8d3cfb85,2135210089713,PIC-XPR-100-GLJ-C24,Instant Coffee Xpresso 100g Glass Jar Case of 24,Hands On Trades Private Limited (K4 Kolkata),delivered,Blinkit,26 May 2025 12:20:19,07 Jun 2025 00:00:00,62354.6,24,24,0,100.0,14.0,68670.73978652926,0,0,0,2.45
6e762581,2135210089713,PMC-AST-03P-SAC-C45,Premix Coffee Assorted Box of 3 Sachets Case of 45	,Hands On Trades Private Limited (K4 Kolkata),delivered,Blinkit,26 May 2025 12:20:19,07 Jun 2025 00:00:00,62354.6,45,45,0,100.0,14.0,90102.88185948969,0,0,0,2.84
e11a8ede,2135210089713,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,Hands On Trades Private Limited (K4 Kolkata),delivered,Blinkit,26 May 2025 12:20:19,07 Jun 2025 00:00:00,62354.6,72,72,0,100.0,14.0,574401.6626878248,0,0,0,11.76
