Table,Field_Name,Data_Type,Description,Sample_Value,Source_File,Category
B2B_Customers,Customer_ID,String,Unique customer identifier,CUST001,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Customer_Name,String,Business name of the customer,Hotel Paradise Limited,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,GST_Number,String,GST registration number,29ABCDE1234F1Z5,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Business_Address,String,Primary business address,123 MG Road Mumbai,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Delivery_Address,String,Delivery address for orders,456 Delivery Lane,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Rate_Card_Name,String,Applied rate card for pricing,MT (50%),B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Contact_Person,String,Primary contact person name,John Sharma,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Phone_Number,String,Contact phone number,+91-9876543210,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Email,String,Contact email address,contact@hotelparadise.com,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,City,String,Customer city,Mumbai,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,State,String,Customer state,Maharashtra,B2B_Customers_09-Jun-2025.csv,Customer
B2B_Customers,Customer_Type,String,Type of business customer,Hotel/Logistics/Amazon/Airlines,B2B_Customers_09-Jun-2025.csv,Customer
Product_Master,Product_SKU,String,Unique product identifier,PIC-ORG-30P-SAC-C20,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Product_Name,String,Full product name,Instant Coffee Original Pack of 30 Sachets Case of 20,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Category,String,Product category,Instant Coffee,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Sub_Category,String,Product sub-category,Ground Coffee/RTD/Premix/Hot Brew/Cold Brew,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Flavor,String,Product flavor variant,Original/French Vanilla/Hazelnut/Xpresso/Decaf,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Package_Size,String,Package size/weight,30 Sachets/100g/250g/1kg,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Package_Type,String,Packaging format,Sachet/Glass Jar/Can/Bottle/Bag,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Case_Quantity,Integer,Units per case,20,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Base_Price,Decimal,Base selling price per unit,225.00,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Cost_Price,Decimal,Manufacturing/procurement cost,150.00,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Weight_Grams,Decimal,Product weight in grams,600,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Dimensions,String,Product dimensions LxWxH,15x10x5 cm,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Shelf_Life_Days,Integer,Product shelf life in days,730,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Storage_Temp,String,Required storage temperature,Room Temperature/Cool/Refrigerated,Product_Master_Sheet_09-Jun-2025.csv,Product
Product_Master,Status,String,Product status,Active/Discontinued/Seasonal,Product_Master_Sheet_09-Jun-2025.csv,Product
Rate_Card,Rate_Card_Name,String,Rate card identifier,MT (50%),Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Rate_Card_Type,String,Type of rate card,Discount/Standard/Premium,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Product_SKU,String,Product SKU for pricing,PIC-ORG-30P-SAC-C20,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Product_Name,String,Product name for reference,Instant Coffee Original Pack of 30 Sachets Case of 20,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Discounted_Price,Decimal,Price after rate card discount,4500,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Discount_Percentage,Decimal,Percentage discount applied,50.0,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Effective_Date,Date,Rate card effective date,2025-05-05,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Valid_Until,Date,Rate card expiry date,2025-12-31,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Min_Order_Qty,Integer,Minimum order quantity for rate,1,Rate_Card_09-Jun-2025.csv,Pricing
Rate_Card,Max_Order_Qty,Integer,Maximum order quantity for rate,1000,Rate_Card_09-Jun-2025.csv,Pricing
Orders,Order_ID,String,Unique order identifier,ORD-2025-001234,May orders (2).csv,Order
Orders,Customer_ID,String,Customer who placed order,CUST001,May orders (2).csv,Order
Orders,Order_Date,Date,Date when order was placed,2025-05-15,May orders (2).csv,Order
Orders,Expected_Delivery_Date,Date,Expected delivery date,2025-05-20,May orders (2).csv,Order
Orders,Actual_Delivery_Date,Date,Actual delivery date,2025-05-22,May orders (2).csv,Order
Orders,Order_Status,String,Current order status,Pending/Processing/Shipped/Delivered/Cancelled,May orders (2).csv,Order
Orders,Priority_Level,String,Order priority,High/Medium/Low/Urgent,May orders (2).csv,Order
Orders,Product_SKU,String,Ordered product SKU,PIC-ORG-30P-SAC-C20,May orders (2).csv,Order
Orders,Quantity_Ordered,Integer,Quantity ordered,50,May orders (2).csv,Order
Orders,Unit_Price,Decimal,Price per unit,225.00,May orders (2).csv,Order
Orders,Total_Amount,Decimal,Total order value,11250.00,May orders (2).csv,Order
Orders,Discount_Applied,Decimal,Discount amount applied,1125.00,May orders (2).csv,Order
Orders,Final_Amount,Decimal,Final amount after discount,10125.00,May orders (2).csv,Order
Orders,Payment_Status,String,Payment status,Paid/Pending/Partial/Overdue,May orders (2).csv,Order
